feature,value,precision,recall,fbeta
workclass,?,0.72,0.42857142857142855,0.5373134328358209
workclass,Federal-gov,0.782608695652174,0.7714285714285715,0.7769784172661871
workclass,Local-gov,0.7450980392156863,0.6909090909090909,0.7169811320754716
workclass,Private,0.7390791027154664,0.6253746253746254,0.6774891774891775
workclass,Self-emp-inc,0.7739130434782608,0.7542372881355932,0.7639484978540773
workclass,Self-emp-not-inc,0.7383177570093458,0.5031847133757962,0.5984848484848485
workclass,State-gov,0.734375,0.6438356164383562,0.6861313868613139
workclass,Without-pay,1.0,1.0,1.0
education,10th,0.42857142857142855,0.25,0.3157894736842105
education,11th,1.0,0.36363636363636365,0.5333333333333333
education,12th,1.0,0.4,0.5714285714285714
education,1st-4th,1.0,1.0,1.0
education,5th-6th,1.0,0.5,0.6666666666666666
education,7th-8th,0.5,0.16666666666666666,0.25
education,9th,1.0,0.3333333333333333,0.5
education,Assoc-acdm,0.6923076923076923,0.574468085106383,0.627906976744186
education,Assoc-voc,0.6666666666666666,0.5396825396825397,0.5964912280701754
education,Bachelors,0.7505773672055427,0.7222222222222222,0.7361268403171007
education,Doctorate,0.847457627118644,0.8771929824561403,0.8620689655172413
education,HS-grad,0.6727272727272727,0.4289855072463768,0.5238938053097345
education,Masters,0.8341232227488151,0.8502415458937198,0.8421052631578947
education,Preschool,1.0,1.0,1.0
education,Prof-school,0.8351648351648352,0.9047619047619048,0.8685714285714285
education,Some-college,0.6763285024154589,0.5054151624548736,0.5785123966942148
marital-status,Divorced,0.7358490566037735,0.3786407766990291,0.5
marital-status,Married-AF-spouse,1.0,0.0,0.0
marital-status,Married-civ-spouse,0.7358024691358025,0.6793313069908815,0.7064401422362703
marital-status,Married-spouse-absent,1.0,0.375,0.5454545454545454
marital-status,Never-married,0.8936170212765957,0.4077669902912621,0.56
marital-status,Separated,1.0,0.42105263157894735,0.5925925925925926
marital-status,Widowed,1.0,0.15789473684210525,0.2727272727272727
occupation,?,0.72,0.42857142857142855,0.5373134328358209
occupation,Adm-clerical,0.6533333333333333,0.5104166666666666,0.5730994152046783
occupation,Armed-Forces,1.0,1.0,1.0
occupation,Craft-repair,0.688,0.47513812154696133,0.5620915032679739
occupation,Exec-managerial,0.7956989247311828,0.7455919395465995,0.7698309492847855
occupation,Farming-fishing,0.45454545454545453,0.17857142857142858,0.2564102564102564
occupation,Handlers-cleaners,0.6666666666666666,0.3333333333333333,0.4444444444444444
occupation,Machine-op-inspct,0.5555555555555556,0.425531914893617,0.4819277108433735
occupation,Other-service,1.0,0.19230769230769232,0.3225806451612903
occupation,Priv-house-serv,1.0,1.0,1.0
occupation,Prof-specialty,0.7887700534759359,0.7525510204081632,0.7702349869451697
occupation,Protective-serv,0.7419354838709677,0.5476190476190477,0.6301369863013698
occupation,Sales,0.7215909090909091,0.6614583333333334,0.6902173913043478
occupation,Tech-support,0.7111111111111111,0.6274509803921569,0.6666666666666666
occupation,Transport-moving,0.5957446808510638,0.4375,0.5045045045045045
relationship,Husband,0.7388888888888889,0.6820512820512821,0.7093333333333334
relationship,Not-in-family,0.8210526315789474,0.4148936170212766,0.5512367491166078
relationship,Other-relative,1.0,0.375,0.5454545454545454
relationship,Own-child,1.0,0.17647058823529413,0.3
relationship,Unmarried,0.8571428571428571,0.26666666666666666,0.4067796610169492
relationship,Wife,0.7089552238805971,0.6643356643356644,0.6859205776173285
race,Amer-Indian-Eskimo,0.625,0.5,0.5555555555555556
race,Asian-Pac-Islander,0.7924528301886793,0.6774193548387096,0.7304347826086957
race,Black,0.7254901960784313,0.5692307692307692,0.6379310344827587
race,Other,0.8,0.6666666666666666,0.7272727272727273
race,White,0.7433993399339934,0.6309523809523809,0.6825757575757576
sex,Female,0.7222222222222222,0.5021459227467812,0.5924050632911393
sex,Male,0.7472150814053128,0.6517189835575485,0.6962075848303393
native-country,?,0.7096774193548387,0.7096774193548387,0.7096774193548387
native-country,Cambodia,1.0,0.0,0.0
native-country,Canada,0.875,0.875,0.875
native-country,China,1.0,0.875,0.9333333333333333
native-country,Columbia,1.0,1.0,1.0
native-country,Cuba,0.6666666666666666,0.8,0.7272727272727273
native-country,Dominican-Republic,1.0,1.0,1.0
native-country,Ecuador,1.0,0.5,0.6666666666666666
native-country,El-Salvador,0.5,1.0,0.6666666666666666
native-country,England,0.5,0.5,0.5
native-country,France,1.0,1.0,1.0
native-country,Germany,0.8181818181818182,0.6923076923076923,0.75
native-country,Greece,1.0,0.0,0.0
native-country,Guatemala,1.0,1.0,1.0
native-country,Haiti,1.0,1.0,1.0
native-country,Honduras,1.0,1.0,1.0
native-country,Hong,0.5,1.0,0.6666666666666666
native-country,Hungary,1.0,0.5,0.6666666666666666
native-country,India,0.7777777777777778,0.875,0.8235294117647058
native-country,Iran,0.5,0.4,0.4444444444444444
native-country,Ireland,1.0,1.0,1.0
native-country,Italy,0.75,0.75,0.75
native-country,Jamaica,0.0,1.0,0.0
native-country,Japan,0.75,0.75,0.75
native-country,Laos,1.0,0.0,0.0
native-country,Mexico,1.0,0.3333333333333333,0.5
native-country,Nicaragua,1.0,1.0,1.0
native-country,Peru,0.0,0.0,0.0
native-country,Philippines,1.0,0.75,0.8571428571428571
native-country,Poland,0.5,0.5,0.5
native-country,Portugal,1.0,1.0,1.0
native-country,Puerto-Rico,0.8333333333333334,0.8333333333333334,0.8333333333333334
native-country,Scotland,1.0,1.0,1.0
native-country,South,0.3333333333333333,0.5,0.4
native-country,Taiwan,0.75,0.75,0.75
native-country,Thailand,1.0,1.0,1.0
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,United-States,0.743142144638404,0.6229965156794425,0.6777862016679302
native-country,Vietnam,1.0,1.0,1.0
native-country,Yugoslavia,1.0,1.0,1.0
